state_name,district_name,nss_region,nss_region_code,NSSO,nsso_district_name,state_nsso_region
Chhattisgarh,Balrampur,Northern Chhattisgarh,221,TRUE,Balrampur,Chhattisgarh - Northern Chhattisgarh
Chhattisgarh,Bastar,Southern Chhattisgarh,223,TRUE,Bastar,Chhattisgarh - Southern Chhattisgarh
Chhattisgarh,Bemetara,Mahanadi Basin,222,TRUE,Bemetara,Chhattisgarh - Mahanadi Basin
Chhattisgarh,Bijapur,Southern Chhattisgarh,223,TRUE,Bijapur,Chhattisgarh - Southern Chhattisgarh
Chhattisgarh,Bilaspur,Mahanadi Basin,222,TRUE,Bilaspur,Chhattisgarh - Mahanadi Basin
Chhattisgarh,Dakshinbastardantewada,Southern Chhattisgarh,223,TRUE,Dakshin Bastar Dantewada,Chhattisgarh - Southern Chhattisgarh
Chhattisgarh,Dhamtari,Mahanadi Basin,222,TRUE,Dhamtari,Chhattisgarh - Mahanadi Basin
Chhattisgarh,Durg,Mahanadi Basin,222,TRUE,Durg,Chhattisgarh - Mahanadi Basin
Chhattisgarh,Gariyaband,Mahanadi Basin,222,TRUE,Gariyaband,Chhattisgarh - Mahanadi Basin
Chhattisgarh,Janjgirchampa,Mahanadi Basin,222,TRUE,JanjgirChampa,Chhattisgarh - Mahanadi Basin
Chhattisgarh,Jashpur,Mahanadi Basin,222,TRUE,Jashpur,Chhattisgarh - Mahanadi Basin
Chhattisgarh,Kabeerdham,Mahanadi Basin,222,TRUE,Kabeerdham,Chhattisgarh - Mahanadi Basin
Chhattisgarh,Kondagaon,Southern Chhattisgarh,223,TRUE,Kondagaon,Chhattisgarh - Southern Chhattisgarh
Chhattisgarh,Korba,Mahanadi Basin,222,TRUE,Korba,Chhattisgarh - Mahanadi Basin
Chhattisgarh,Koriya,Northern Chhattisgarh,221,TRUE,Koriya,Chhattisgarh - Northern Chhattisgarh
Chhattisgarh,Mahasamund,Mahanadi Basin,222,TRUE,Mahasamund,Chhattisgarh - Mahanadi Basin
Chhattisgarh,Mungeli,Mahanadi Basin,222,TRUE,Mungeli,Chhattisgarh - Mahanadi Basin
Chhattisgarh,Narayanpur,Southern Chhattisgarh,223,TRUE,Narayanpur,Chhattisgarh - Southern Chhattisgarh
Chhattisgarh,Raigarh,Mahanadi Basin,222,TRUE,Raigarh,Chhattisgarh - Mahanadi Basin
Chhattisgarh,Raipur,Mahanadi Basin,222,TRUE,Raipur,Chhattisgarh - Mahanadi Basin
Chhattisgarh,Rajnandgaon,Mahanadi Basin,222,TRUE,Rajnandgaon,Chhattisgarh - Mahanadi Basin
Chhattisgarh,Sukama,Southern Chhattisgarh,223,TRUE,Sukama,Chhattisgarh - Southern Chhattisgarh
Chhattisgarh,Surajpur,Northern Chhattisgarh,221,TRUE,Surajpur,Chhattisgarh - Northern Chhattisgarh
Chhattisgarh,Surguja,Northern Chhattisgarh,221,TRUE,Surguja,Chhattisgarh - Northern Chhattisgarh
Chhattisgarh,Uttarbastarkanker,Southern Chhattisgarh,223,TRUE,Uttar Bastar Kanker,Chhattisgarh - Southern Chhattisgarh
Dadra & Nagar Haveli & Daman & Diu,Dadra&Nagarhaveli,Dadra & Nagar Haveli,261,TRUE,Dadra  & Nagar Haveli,Dadra & Nagar Haveli & Daman & Diu - Dadra & Nagar Haveli
Dadra & Nagar Haveli & Daman & Diu,Daman,Daman & Diu,251,TRUE,Daman,Dadra & Nagar Haveli & Daman & Diu - Daman & Diu
Dadra & Nagar Haveli & Daman & Diu,Diu,Daman & Diu,251,TRUE,Diu,Dadra & Nagar Haveli & Daman & Diu - Daman & Diu
Goa,Northgoa,Goa,301,TRUE,North Goa,Goa - Goa
Goa,Southgoa,Goa,301,TRUE,South Goa,Goa - Goa
Gujarat,Ahmadabad,Plains Northern,242,TRUE,Ahmadabad,Gujarat - Plains Northern
Gujarat,Amreli,Saurashtra,245,TRUE,Amreli,Gujarat - Saurashtra
Gujarat,Anand,Plains Northern,242,TRUE,Anand,Gujarat - Plains Northern
Gujarat,Banaskantha,Dry areas,243,TRUE,Banas Kantha,Gujarat - Dry areas
Gujarat,Bharuch,South Eastern,241,TRUE,Bharuch,Gujarat - South Eastern
Gujarat,Bhavnagar,Saurashtra,245,TRUE,Bhavnagar,Gujarat - Saurashtra
Gujarat,Dohad,South Eastern,241,TRUE,Dohad,Gujarat - South Eastern
Gujarat,Gandhinagar,Plains Northern,242,TRUE,Gandhinagar,Gujarat - Plains Northern
Gujarat,Jamnagar,Saurashtra,245,TRUE,Jamnagar,Gujarat - Saurashtra
Gujarat,Junagadh,Saurashtra,245,TRUE,Junagadh,Gujarat - Saurashtra
Gujarat,Kachchh,Kachchh,244,TRUE,Kachchh,Gujarat - Kachchh
Gujarat,Kheda,Plains Northern,242,TRUE,Kheda,Gujarat - Plains Northern
Gujarat,Mahesana,Plains Northern,242,TRUE,Mahesana,Gujarat - Plains Northern
Gujarat,Narmada,South Eastern,241,TRUE,Narmada,Gujarat - South Eastern
Gujarat,Navsari,South Eastern,241,TRUE,Navsari,Gujarat - South Eastern
