"state_name","district_name","reg_code"
"Karnataka","Belgaum",555
"Karnataka","Bellary",565
"Karnataka","Bidar",558
"Karnataka","Bijapur",557
"Karnataka","Chamarajanagar",578
"Karnataka","Chikkaballapura",582
"Karnataka","Chikmagalur",570
"Karnataka","Chitradurga",566
"Karnataka","Dakshina Kannada",575
"Karnataka","Davanagere",567
"Karnataka","Dharwad",562
"Karnataka","Gadag",561
"Karnataka","Gulbarga",579
"Karnataka","Hassan",574
"Karnataka","Haveri",564
"Karnataka","Kodagu",576
"Karnataka","Kolar",581
"Karnataka","Koppal",560
"Karnataka","Mandya",573
"Karnataka","Mysore",577
"Karnataka","Raichur",559
"Karnataka","Ramanagara",584
"Karnataka","Shimoga",568
"Karnataka","Tumkur",571
"Karnataka","Udupi",569
"Karnataka","Uttara Kannada",563
"Karnataka","Yadgir",580
"Kerala","Alappuzha",598
"Kerala","Ernakulam",595
"Kerala","Idukki",596
"Kerala","Kannur",589
"Kerala","Kasaragod",588
"Kerala","Kollam",600
"Kerala","Kottayam",597
"Kerala","Kozhikode",591
"Kerala","Malappuram",592
"Kerala","Palakkad",593
"Kerala","Pathanamthitta",599
"Kerala","Thiruvananthapuram",601
"Kerala","Thrissur",594
"Kerala","Wayanad",590
"Lakshadweep","Lakshadweep",587
"Madhya Pradesh","Alirajpur",465
"Madhya Pradesh","Anuppur",461
"Madhya Pradesh","Ashoknagar",459
"Madhya Pradesh","Balaghat",457
"Madhya Pradesh","Barwani",441
"Madhya Pradesh","Betul",447
"Madhya Pradesh","Bhind",420
"Madhya Pradesh","Bhopal",444
"Madhya Pradesh","Burhanpur",467
"Madhya Pradesh","Chhatarpur",425
"Madhya Pradesh","Chhindwara",455
"Madhya Pradesh","Damoh",428
"Madhya Pradesh","Datia",422
"Madhya Pradesh","Dewas",437
"Madhya Pradesh","Dhar",438
"Madhya Pradesh","Dindori",453
"Madhya Pradesh","Guna",458
"Madhya Pradesh","Gwalior",421
"Madhya Pradesh","Harda",448
"Madhya Pradesh","Hoshangabad",449
"Madhya Pradesh","Indore",439
"Madhya Pradesh","Jabalpur",451
"Madhya Pradesh","Jhabua",464
"Madhya Pradesh","Katni",450
"Madhya Pradesh","Khandwa (East Nimar)",466
"Madhya Pradesh","Khargone (West Nimar)",440
"Madhya Pradesh","Mandla",454
"Madhya Pradesh","Mandsaur",433
"Madhya Pradesh","Morena",419
"Madhya Pradesh","Narsimhapur",452
"Madhya Pradesh","Neemuch",432
"Madhya Pradesh","Panna",426
"Madhya Pradesh","Raisen",446
"Madhya Pradesh","Rajgarh",442
"Madhya Pradesh","Ratlam",434
"Madhya Pradesh","Rewa",430
"Madhya Pradesh","Sagar",427
"Madhya Pradesh","Satna",429
"Madhya Pradesh","Sehore",445
"Madhya Pradesh","Seoni",456
"Madhya Pradesh","Shahdol",460
"Madhya Pradesh","Shajapur",436
"Madhya Pradesh","Sheopur",418
"Madhya Pradesh","Shivpuri",423
"Madhya Pradesh","Sidhi",462
"Madhya Pradesh","Singrauli",463
"Madhya Pradesh","Tikamgarh",424
"Madhya Pradesh","Ujjain",435
"Madhya Pradesh","Umaria",431
"Madhya Pradesh","Vidisha",443
"Maharashtra","Ahmadnagar",522
"Maharashtra","Akola",501
"Maharashtra","Amravati",503
"Maharashtra","Aurangabad",515
"Maharashtra","Bhandara",506
"Maharashtra","Bid",523
"Maharashtra","Buldana",500
"Maharashtra","Chandrapur",509
"Maharashtra","Dhule",498
"Maharashtra","Gadchiroli",508
"Maharashtra","Gondiya",507
"Maharashtra","Hingoli",512
"Maharashtra","Jalgaon",499
"Maharashtra","Jalna",514
"Maharashtra","Kolhapur",530
"Maharashtra","Latur",524
"Maharashtra","Mumbai",519
"Maharashtra","Mumbai Suburban",518
"Maharashtra","Nagpur",505
"Maharashtra","Nanded",511
"Maharashtra","Nandurbar",497
"Maharashtra","Nashik",516
"Maharashtra","Osmanabad",525
"Maharashtra","Parbhani",513
"Maharashtra","Pune",521
"Maharashtra","Raigarh",520
"Maharashtra","Ratnagiri",528
"Maharashtra","Sangli",531
"Maharashtra","Satara",527
"Maharashtra","Sindhudurg",529
"Maharashtra","Solapur",526
"Maharashtra","Thane",517
"Maharashtra","Wardha",504
"Maharashtra","Washim",502
"Maharashtra","Yavatmal",510
"Manipur","Bishnupur",275
"Manipur","Chandel",280
"Manipur","Churachandpur",274
"Manipur","Imphal East",278
"Manipur","Imphal West",277
"Manipur","Senapati (Excluding 3 Sub-Divisions)",272
"Manipur","Tamenglong",273
"Manipur","Thoubal",276
"Manipur","Ukhrul",279
"Meghalaya","East Garo Hills",294
"Meghalaya","East Khasi Hills",298
"Meghalaya","Jaintia Hills",299
"Meghalaya","Ribhoi",297
"Meghalaya","South Garo Hills",295
"Meghalaya","West Garo Hills",293
"Meghalaya","West Khasi Hills",296
"Mizoram","Aizawl",283
"Mizoram","Champhai",284
"Mizoram","Kolasib",282
"Mizoram","Lawngtlai",287
"Mizoram","Lunglei",286
"Mizoram","Mamit",281
"Mizoram","Saiha",288
"Mizoram","Serchhip",285
